Country,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00
MEXICO,863.80,953.90,1144.80,1513.30,1489.90,2074.70,2220.70,2439.80,2920.90,3116.80,3511.70,3980.80,4686.80,5395.70,6097.70,7365.40
CHILE,822.50,861.60,998.80,1119.50,1328.80,1308.00,1476.70,1476.00,1571.10,1587.00,1496.90,1843.10,1876.40,1988.50,2267.80,2037.70
GUATEMALA,337.40,336.20,352.20,379.20,367.00,454.30,508.70,597.20,598.10,798.70,865.90,943.20,1017.70,1085.60,1135.40,1221.90
COSTA RICA,542.20,579.50,539.40,564.30,811.80,846.00,781.00,738.50,905.90,924.70,975.10,1025.70,1120.80,994.10,1119.00,1171.00
CHINA,183.90,288.60,390.40,469.40,549.80,887.60,1194.50,837.50,884.50,1137.20,1258.10,1197.40,1021.90,990.00,950.70,928.40
PERU,35.10,29.00,36.80,51.00,69.10,76.70,107.10,105.30,142.70,231.20,233.70,285.70,481.10,577.10,668.00,864.00
CANADA,214.00,271.10,313.60,355.20,416.30,482.60,514.80,438.40,434.70,529.50,644.50,634.40,645.80,712.60,675.70,663.30
BRAZIL,134.00,217.90,159.40,233.90,302.90,509.00,397.90,303.30,347.00,394.90,300.30,362.40,486.40,416.00,392.60,461.70
ECUADOR,327.40,323.20,303.00,320.20,383.60,362.00,384.70,528.00,519.10,559.90,525.60,516.90,524.00,569.70,603.90,461.70
THAILAND,165.10,212.20,252.50,259.80,282.30,297.50,353.30,355.10,363.50,393.30,388.10,410.60,400.10,446.00,497.80,445.70
REST OF WORLD,1442.10,1484.70,1471.50,1608.00,1705.50,1918.80,1948.90,1820.70,1961.60,2300.70,2338.00,2402.10,2546.70,2779.60,2748.50,2762.30
Total,5067.60,5557.70,5962.40,6873.80,7707.10,9217.30,9888.20,9639.80,10649.00,11973.90,12537.90,13602.30,14807.70,15954.90,17157.00,18383.10